Name,Raster images (JPEG  TIFF  etc.),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
Panoweaver Standard / Professional,Yes,Yes,Yes,Yes,Yes,Includes free Flash and HTML5 viewer.
Dermandar,Yes,Yes,No,No,Yes,Includes free Flash and HTML5 viewer.
i2Align Quickage Express / Pro,Yes,No,No,No,No,[null]
Pixtra PanoStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
Pixtra OmniStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
QuickPHOTO,Yes,No,No,No,No,[null]
PhotoFit Harmony / Premium,Yes,No,No,Yes,No,[null]
PanoramaPlus X4,Yes,No,No,Yes,No,Flickr export.
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,Yes,Yes*,No,No,No,(*) Planar viewer.
360 Panorama Professional,Yes,No,Yes,Yes,No,[null]
VRstitcher Fisheye Pro,Yes,No,Yes,?,No,[null]
COOL 360[26],Yes,No,No,Yes,No,Embedding of panoramas into executables (.exe) and Microsoft Office files. ActiveX viewer.
PanaVue ImageAssembler Std. / Pro. / Ent.,Yes,Yes,Yes,Yes,No,[null]
The Panorama Factory v5,Yes,No,Yes,Yes,No,[null]
PixMaker Lite / Home / Business,Yes,?,?,?,No,[null]
PTAssembler,Yes,No,No,No,No,[null]
PTgui / PTgui Pro,Yes,No,No,Yes,Yes[27],[null]
Autopano Pro / Giga / Server,Yes,Yes,No,No,No,[null]
Autostitch,Yes,No,No,No,No,[null]
Calico,Yes,No,?,?,?,[null]
Hugin,Yes,No,No,No,No,[null]
3DVista Stitcher 3.0,Yes,No,No,No,No,[null]
D Joiner,Yes,?,Yes,No,No,[null]
Panorama Maker 6,Yes,Yes,Yes,Yes,No,[null]
Photovista Panorama,Yes,No,Yes,No,No,IVR export.
PanoramaStudio / pro[28],Yes,Yes,Yes,No,Yes,[null]
Stitcher Unlimited 2009,Yes,Yes,Yes,Yes,No,VRML export.
ADG Panorama Tools / Pro,Yes,No,Yes,Yes,No,[null]
Panorama Composer 3,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
Image Composite Editor,Yes,No,No,No,No,Publish to Photosynth website  Silverlight based viewer.
Panorama Perfect,Yes,No,No,No,No,[null]
Photoshop,Yes,No,No,No,No,[null]
AIPR Lite 1,Yes,No,No,No,No,[null]
Gigapan Stitch 1.0,Yes,Yes,No,No,No,3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer
PanoramaMaker,Yes,No,No,No,No,[null]
PanoEdit,Yes,No,No,No,No,[null]
SharpStitch,Yes,No,No,No,No,[null]
Pano2VR / Pano2VR pro,Yes,Yes,No,Yes,Yes,[null]
Name,Raster images (JPEG  TIFF  etc.),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
