Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,Textual editor?,Tree view editor?,Graphical editor?,WYSIWYG editor?,XML Schema editor?,Syntax highlighting,Tag folding,Autocomplete using schema,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2015,[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Altova XMLSpy,2018,[null],[null],Standalone<br />Eclipse Plugin  Visual Studio Plugin,[null],<ref name=po>Plugin version</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],30 days
CAM Editor,2015 (3.2.2),[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
emacs/<br />nxml-mode,current,[null],[null],Emacs mode,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MadCap Flare,2019,[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Perpetual and Subscription,[null]
Liquid XML Studio,2018 (16.1.19),[null],[null],Standalone + Visual Studio Plugin,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oxygen XML Editor,2019 (21.0),[null],[null],Standalone + Eclipse Plugin<ref>Older Eclipse plugin versions work in current (Indigo) Eclipse.</ref>Web-App,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),[null],[null],Web-App,[null],[null],[null],[null],Sections Only,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Stylus Studio,2014 (X15 R2),[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xeditor,2.0,[null],[null],Web-app,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xerlin,2005 (1.3),[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XMetaL,2018 (13.0),[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XML Notepad,2017 (2.7.1),[null],[null],Standalone,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
