Format,Filename extension,Created by,Introduced in,Based on,Compression,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution,Pre-processing,License
Archive (ar),.a  .ar,CSRG,1971,Original,[null],[null],[null],[null],[null],1 s,[null],[null]
cpio,.cpio,Bell Labs,1983 Unix System V,[null],[null],, select formats only,[null],[null],[null],1 s,[null],[null]
Shell Archive (shar and makeself),.shar  .run,James Gosling  Alan Hewett,1994 4.4BSD,Original,[null],, commonly MD5,[null],[null],[null],arbitrary (typically 1 s),[null],GPL (shar 4.x)}}
Tape Archive (tar),.tar,Bell Labs,1975 Version 6 Unix,[null],[null],, metadata only. Full integrity providable by filters such as gzip.,[null],[null],[null],1 s,[null],[null]
Extended TAR format (pax),.tar,OpenGroup,2001,Sun proposal + TAR,[null],metadata,[null],[null],[null],arbitrary (typically 1 ns),[null],[null]
BagIt,–,The Library of Congress,2007,file system,[null],[null],[null],[null],[null],[null],[null],[null]
7z,.7z,Igor Pavlov,2000,LZMA  LZMA2  Bzip2  PPMd  DEFLATE,[null],, CRC32,[null],, AES-256,[null],100 ns<ref>https://sourceforge.net/p/sevenzip/discussion/45797/thread/3964f1db/#cbcb/7556</ref>,[null],[null]
ACE,.ace,Marcel Lemke,1998<ref>http://www.hugi.scene.org/online/coding/hugi%2012%20-%20coace.htm</ref>,LZ77,[null],[null],[null],, Blowfish,[null],2s,[null],[null]
AFA,.afa,Vicente Sánchez-Alarcos,2009,Original,[null],[null],[null],, AES and CAST,[null],[null],[null],[null]
ARC,.arc,Thom Henderson (SEA),1985,[null],[null],[null],[null],[null],[null],2s,[null],[null]
ARJ,.arj,Robert Jung,1991,AR001 and AR002,[null],[null],[null],[null],[null],[null],[null],[null]
B1,.b1,Catalina Group Ltd,2011,LZMA,[null],[null],[null],, AES,[null],[null],[null],[null]
Cabinet,.cab,Microsoft,1992 Windows 3.1,DEFLATE,[null],PKCS7 Authenticode signature,[null],(with SDK),[null],2 s,[null],[null]
Compact File Set,.cfs,Joe Lowe (Pismo Technic Inc.),2008,ZIP/LZMA,[null],[null],[null],[null],[null],[null],[null],[null]
Compact Pro,.cpt,Bill Goodman,1990 (as "Compactor"),Original,[null],[null],[null],[null],[null],[null],[null],[null]
Disk Archive (DAR),.dar,Denis Corbin,2002,Original,[null],[null],[null],[null],[null],1 µs,[null],[null]
DGCA,.dgc,Shin-ichi Tsuruta,2001,GCA,[null],[null],[null],[null],[null],[null],[null],[null]
FreeArc,.arc,Bulat Ziganshin,2006,LZMA  PPMd  TTA,[null],[null],[null],, AES  Blowfish  Twofish and Serpent,[null],[null],[null],[null]
LHA (also LZH),.lzh  .lha,Haruyasu Yoshizaki,1988,Frozen,[null],Only on recent LHA releases,[null],[null],[null],1–2 s,[null],[null]
LZX,.lzx,Jonathan Forbes and Tomi Poutanen,1995,LZ77,[null],Only on recent LZX releases,[null],[null],[null],[null],[null],[null]
ISO image,.iso  .img  .ima,ISO 9660,1988,High Sierra Format,[null],[null],[null],[null],[null],[null],[null],[null]
SparkFS,.arc,David Pilling,1989,[null],[null],[null],[null],[null],[null],[null],[null],[null]
WinMount format,.mou,?,2007,?,[null],[null],[null],[null],[null],[null],[null],[null]
Macintosh Disk Image,.dmg,Apple Computer,2001 Mac OS X,Original,[null],[null],[null],[null],[null],[null],[null],[null]
Partition Image (PartImage),.partimg,François Dupoux and Franck Ladurelle,2000,[null],[null],[null],[null],[null],[null],[null],[null],[null]
PAQ Family (Several formats),.paq#*  .lpaq#*,Matt Mahoney,2002–2006,Original,[null],[null],[null],[null],[null],[null],[null],[null]
PEA,.pea,Giorgio Tani,2006,Original  Deflate based compression,[null],Adler32  CRC32  CRC64  MD5  SHA1  RIPEMD-160  SHA256  SHA512  Whirlpool,[null],Authenticated Encryption  AES128 and AES256 in EAX mode,system dependent,arbitrary,[null],[null]
PIM,.pim,Ilia Muraviev,2004–2008,Original,[null],[null],[null],[null],[null],[null],[null],[null]
Quadruple D,.qda,Taku Hayase (aka sandman),1997,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RAR,.rar,Eugene Roshal,1993,Original,[null],, CRC32  BLAKE2,, Reed–Solomon,, AES-256 for RAR 5.0 archives,, UTF-8,2 s  1 s  6.5536 ms  25.6 µs or 100 ns,[null],[null]
RK,.rk,M Software  Ltd.,2004,Original,[null],[null],[null],, AES  Square  Twofish,[null],1 s,[null],[null]
NuFX,.shk,Andy Nicholas,1989,Original,[null],[null],[null],[null],[null],1 s,[null],[null]
StuffIt (also SIT),.sit,Raymond Lau,1987,[null],[null],[null],[null],[null],[null],[null],[null],[null]
StuffIt X (also SITx),.sitx,Aladdin/Allume Systems,2002,[null],[null],[null],[null],, RC4 Blowfish  AES DES,[null],[null],[null],[null]
UltraCompressor II,.uc .uc0 .uc2 .ucn .ur2 .ue2,Nico de Vries,1992–1996,LZ77 and Huffman coding,[null],[null],[null],, triple DES,[null],?,[null],[null]
Windows Image,.wim  .swm  .esd,Microsoft,2006,Original,[null],[null],[null],[null],[null],100 ns,[null],[null]
ZIP,.zip,Phil Katz,1989,DEFLATE,[null],[null],[null],, AES,[null],1–2 s  depending on version,[null],[null]
ZPAQ,.zpaq,Matt Mahoney,2009,PAQ,[null],, SHA-1,[null],, AES-256,[null],[null],[null],[null]
