[null],Real,Complex,SPD,HPD,SY,HE,BND,TF,OF,EVP,SVD,GEVP,GSVD
ALGLIB,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ATLAS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Dlib,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
GNU Scientific Library,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ILNumerics.Net,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IMSL Numerical Libraries,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LAPACK,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MKL,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NAG Numerical Library,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
NMath,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SciPy (Python packages),[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Eigen,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Armadillo,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
