rowspan="2",CF,CFast,SM,MMC,Memory Stick,SDSC,SDHC,SDXC,xD,XQD
I,II,[null],[null],MMC,RS-MMC  MMCmobile,Std,PRO,PRO Duo,Micro,SDSC
ExpressCard,E<ref name="cf2expresscard"></ref>,E<ref name="cf2expresscard"/>,[null],[null],E<ref name="exp12in2">DataFab EXP 12 in 2 </ref>,[null],E<ref name="exp12in1">DataFab exp 12 in 1 </ref>,E<ref name="exp12in1"/>,E<ref name="exp12in2"/>,[null]
PCI Express Mini Card,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
mSATA,[null],[null],XM,[null],[null],[null],[null],[null],[null],[null]
PC Card,EM<ref name="cf2pc"></ref>,EM<ref name="cf2pc"/>,[null],E<ref name="transcendusa1"></ref>,E<ref name="5in1-pc"></ref>,[null],E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,[null],[null]
PCMCIA,EM<ref name="cf2pc" />,EM<ref name="cf2pc"/>,[null],E<ref name="transcendusa1"/>,E<ref name="5in1-pc" />,[null],E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,[null],[null]
CF I,+,+,[null],E,E<ref name="sd2cf"></ref>,[null],E<ref name="ms2cf"></ref>,E<ref name="ms2cf"/>,E<ref name="duo2cf"></ref>,[null]
CF II,[null],+,[null],E,E<ref name="sd2cf"/>,[null],E<ref name="ms2cf"/>,E<ref name="ms2cf"/>,[null],[null]
CFast,[null],[null],+,[null],[null],[null],[null],[null],[null],[null]
SM,[null],[null],[null],+,[null],[null],[null],[null],[null],[null]
xD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
XQD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MMC,[null],[null],[null],[null],+,M,[null],[null],[null],[null]
MS,[null],[null],[null],[null],X<ref name="sd2ms"></ref>,[null],+,+,M,M
SDSC,[null],[null],[null],[null],D,M,[null],[null],[null],[null]
miniSD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
microSD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SDHC,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
miniSDHC,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
microSDHC,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SDXC,[null],uscb,[null],[null],[null],[null],[null],[null],[null],[null]
microSDXC,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
IDE PATA,EM<ref name="ide2cf"></ref>,EM<ref name="ide2cf"/>,[null],[null],[null],[null],[null],[null],[null],[null]
Serial ATA,E<ref name="toms_sata2cf"></ref>,E<ref name="toms_sata2cf"/>,EM,[null],[null],[null],[null],[null],[null],[null]
PCI Express,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
USB,X<ref name="multi2usb">There are many USB-connected "n-in-1" memory card readers  for example Belkin's "Hi-Speed USB 2.0 15-in-1 Media Reader & Writer".</ref>,X<ref name="multi2usb"/>,[null],X<ref name="multi2usb"/>,X<ref name="multi2usb"/>,[null],X<ref name="multi2usb"/>,X<ref name="multi2usb"/>,E<ref name="msduo2usb">MS Duo and M2 adapters have appeared in the last 12 months which look like USB memory sticks</ref>,E<ref name="msduo2usb"/>
Floppy,[null],[null],[null],E<ref name="sm2floppy">DCRP Special Report: FlashPath Adapter by Tom Beardmore</ref>,E,E + M,E,E,[null],[null]
Nintendo DS Slot-1,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Nintendo DS Slot-2,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
